,DOWNSTREAM
797,0.1178125
798,0.1215625
799,0.11875
800,0.1209375
801,0.1190625
802,0.120625
803,0.119375
804,0.120625
805,0.119375
806,0.120625
807,0.119375
808,0.120625
809,0.119375
810,0.120625
811,0.119375
812,0.120625
813,0.119375
814,0.120625
815,0.119375
816,0.120625
817,0.119375
818,0.1209375
819,0.1190625
820,0.1209375
821,0.1190625
822,0.12125
823,0.11875
824,0.1215625
825,0.1184375
826,0.121875
827,0.1178125
828,0.1225
829,0.116875
830,0.1240625
831,0.1140625
832,0.1303125
833,0.08625
834,0.02875
835,0.0459375
836,0.03625
837,0.0428125
838,0.0378125
839,0.041875
840,0.0384375
841,0.04125
842,0.0390625
843,0.0409375
844,0.039375
845,0.040625
846,0.0396875
847,0.0403125
848,0.0396875
849,0.0403125
850,0.04
851,0.04
852,0.04
853,0.0396875
854,0.0403125
855,0.0396875
856,0.040625
857,0.039375
858,0.0409375
859,0.0390625
860,0.04125
861,0.0384375
862,0.041875
863,0.0378125
864,0.0428125
865,0.03625
866,0.045625
867,0.03
868,0.07375
869,0.13125
870,0.1140625
871,0.1240625
872,0.1171875
873,0.1221875
874,0.1184375
875,0.12125
876,0.1190625
877,0.120625
878,0.1196875
879,0.12
880,0.1203125
881,0.119375
882,0.12125
883,0.118125
884,0.1228125
885,0.1153125
886,0.1290625
887,0.0875
888,0.0278125
889,0.046875
890,0.035
891,0.0440625
892,0.0365625
893,0.0428125
894,0.0375
895,0.0421875
896,0.0378125
897,0.041875
898,0.0384375
899,0.0415625
900,0.0384375
901,0.04125
902,0.03875
903,0.0409375
904,0.0390625
905,0.0409375
906,0.039375
907,0.040625
908,0.039375
909,0.0403125
910,0.04
911,0.04
912,0.0403125
913,0.039375
914,0.04125
915,0.0378125
916,0.0440625
917,0.0315625
918,0.071875
919,0.133125
920,0.1121875
921,0.1259375
922,0.115
923,0.124375
924,0.1159375
925,0.1240625
926,0.1159375
927,0.1240625
928,0.1153125
929,0.1253125
930,0.113125
931,0.1309375
932,0.085625
933,0.0290625
934,0.0459375
935,0.035625
936,0.0440625
937,0.035625
938,0.045625
939,0.03
940,0.073125
941,0.131875
942,0.113125
943,0.125
944,0.1159375
945,0.12375
946,0.1165625
947,0.123125
948,0.116875
949,0.123125
950,0.116875
951,0.1234375
952,0.1165625
953,0.12375
954,0.115625
955,0.1253125
956,0.113125
957,0.13125
958,0.0853125
959,0.03
960,0.045
961,0.036875
962,0.0421875
963,0.0384375
964,0.0409375
965,0.0390625
966,0.040625
967,0.0396875
968,0.0403125
969,0.0396875
970,0.04
971,0.04
972,0.04
973,0.04
974,0.04
975,0.04
976,0.04
977,0.0403125
978,0.0396875
979,0.0403125
980,0.0396875
981,0.0403125
982,0.0396875
983,0.0403125
984,0.0396875
985,0.0403125
986,0.0396875
987,0.0403125
988,0.0396875
989,0.0403125
990,0.0396875
991,0.0403125
992,0.0396875
993,0.0403125
994,0.0396875
995,0.0403125
996,0.0396875
997,0.0403125
998,0.0396875
999,0.0403125
1000,0.0396875
1001,0.0403125
1002,0.0396875
1003,0.0403125
1004,0.0396875
1005,0.0403125
1006,0.0396875
1007,0.0403125
1008,0.0396875
1009,0.0403125
1010,0.0396875
1011,0.0403125
1012,0.0396875
1013,0.0403125
1014,0.0396875
1015,0.0403125
1016,0.0396875
