Time,Ampl
-2.95698e-08,-0.00032
-2.91698e-08,0.0001
-2.87698e-08,-0.00024
-2.83698e-08,-0.0001
-2.79698e-08,0.00016
-2.75698e-08,-0.00026
-2.71698e-08,-0.00024
-2.67698e-08,-0.00016
-2.63698e-08,-0.00018
-2.59698e-08,-0.00012
-2.55698e-08,-0.0002
-2.51698e-08,-6e-05
-2.47698e-08,-0.00012
-2.43698e-08,-0.0002
-2.39698e-08,-0.00028
-2.35698e-08,-0.00012
-2.31698e-08,-0.00032
-2.27698e-08,0
-2.23698e-08,-0.00034
-2.19698e-08,-6e-05
-2.15698e-08,2e-05
-2.11698e-08,-0.00022
-2.07698e-08,-0.0003
-2.03698e-08,-8e-05
-1.99698e-08,-0.00018
-1.95698e-08,-0.00012
-1.91698e-08,-0.0001
-1.87698e-08,-0.0003
-1.83698e-08,-0.00018
-1.79698e-08,-0.00026
-1.75698e-08,-0.0003
-1.71698e-08,-0.0003
-1.67698e-08,-0.00028
-1.63698e-08,0.00022
-1.59698e-08,-8e-05
-1.55698e-08,-8e-05
-1.51698e-08,0.00014
-1.47698e-08,-0.00014
-1.43698e-08,-0.00038
-1.39698e-08,-8e-05
-1.35698e-08,0
-1.31698e-08,-0.00022
-1.27698e-08,-6e-05
-1.23698e-08,-8e-05
-1.19698e-08,2e-05
-1.15698e-08,-6e-05
-1.11698e-08,-0.0002
-1.07698e-08,-0.00014
-1.03698e-08,-0.00026
-9.96983e-09,-0.00026
-9.56983e-09,-0.00026
-9.16983e-09,-6e-05
-8.76983e-09,-0.00026
-8.36983e-09,-0.0001
-7.96983e-09,0.0001
-7.56983e-09,0
-7.16983e-09,0
-6.76983e-09,-6e-05
-6.36983e-09,-0.00034
-5.96983e-09,-0.00014
-5.56983e-09,2e-05
-5.16983e-09,-0.00016
-4.76983e-09,-0.0002
-4.36983e-09,-0.00014
-3.96983e-09,-2e-05
-3.56983e-09,-6e-05
-3.16983e-09,0
-2.76983e-09,-0.00018
-2.36983e-09,-0.0001
-1.96983e-09,-0.00026
-1.56983e-09,-0.00018
-1.16983e-09,-0.0002
-7.6983e-10,-0.0002
-3.6983e-10,-0.0001
3.01703e-11,-0.0001
4.3017e-10,-8e-05
8.3017e-10,-0.00018
1.23017e-09,0.00012
1.63017e-09,-0.00022
2.03017e-09,-0.00026
2.43017e-09,8e-05
2.83017e-09,-0.0002
3.23017e-09,-6e-05
3.63017e-09,-0.00022
4.03017e-09,-0.00012
4.43017e-09,-0.00012
4.83017e-09,-0.00028
5.23017e-09,0.00024
5.63017e-09,-0.00026
6.03017e-09,-0.00036
6.43017e-09,-6e-05
6.83017e-09,-0.0003
7.23017e-09,-2e-05
7.63017e-09,-0.00028
8.03017e-09,-0.00038
8.43017e-09,-0.0001
8.83017e-09,-0.00018
9.23017e-09,-6e-05
9.63017e-09,-8e-05
1.00302e-08,-0.00016
1.04302e-08,-0.00014
1.08302e-08,-4e-05
1.12302e-08,-0.0002
1.16302e-08,0
1.20302e-08,-0.0001
