TIMESTAMPS,TIMES,FILES
1749119136,2025-06-05 12:25:36,1749119124135000_shot_05-06-2025-119131_.asc
1749119208,2025-06-05 12:26:48,1749119196135000_shot_05-06-2025-119203_.asc
1749119280,2025-06-05 12:28:00,1749119268135000_shot_05-06-2025-119275_.asc
1749119352,2025-06-05 12:29:12,1749119340135000_shot_05-06-2025-119347_.asc
1749119472,2025-06-05 12:31:12,1749119460135000_shot_05-06-2025-119467_.asc
1749119568,2025-06-05 12:32:48,1749119556135000_shot_05-06-2025-119563_.asc
1749119640,2025-06-05 12:34:00,1749119628135000_shot_05-06-2025-119635_.asc
1749119736,2025-06-05 12:35:36,1749119724135000_shot_05-06-2025-119731_.asc
1749119808,2025-06-05 12:36:48,1749119796135000_shot_05-06-2025-119803_.asc
1749119976,2025-06-05 12:39:36,1749119964135000_shot_05-06-2025-119971_.asc
1749120072,2025-06-05 12:41:12,1749120060135000_shot_05-06-2025-120067_.asc
1749120192,2025-06-05 12:43:12,1749120180135000_shot_05-06-2025-120187_.asc
1749120312,2025-06-05 12:45:12,1749120300135000_shot_05-06-2025-120307_.asc
1749120408,2025-06-05 12:46:48,1749120396135000_shot_05-06-2025-120403_.asc
1749124344,2025-06-05 13:52:24,1749124332135000_shot_05-06-2025-120787_.asc
1749124345,2025-06-05 13:52:25,1749124332135000_shot_05-06-2025-120811_.asc
1749124346,2025-06-05 13:52:26,1749124332135000_shot_05-06-2025-120763_.asc
1749147896,2025-06-05 20:24:56,1749147884535000_shot_05-06-2025-147863_.asc
1749147897,2025-06-05 20:24:57,1749147884535000_shot_05-06-2025-147891_.asc
1749147898,2025-06-05 20:24:58,1749147884535000_shot_05-06-2025-147885_.asc
1749147899,2025-06-05 20:24:59,1749147884535000_shot_05-06-2025-147876_.asc
1749147900,2025-06-05 20:25:00,1749147884535000_shot_05-06-2025-147888_.asc
1749147901,2025-06-05 20:25:01,1749147884535000_shot_05-06-2025-147854_.asc
1749147902,2025-06-05 20:25:02,1749147884535000_shot_05-06-2025-147851_.asc
1749147903,2025-06-05 20:25:03,1749147884535000_shot_05-06-2025-147857_.asc
1749147904,2025-06-05 20:25:04,1749147884535000_shot_05-06-2025-147879_.asc
1749147905,2025-06-05 20:25:05,1749147884535000_shot_05-06-2025-147882_.asc
1749147906,2025-06-05 20:25:06,1749147884535000_shot_05-06-2025-147894_.asc
1749147907,2025-06-05 20:25:07,1749147884535000_shot_05-06-2025-147872_.asc
1749148016,2025-06-05 20:26:56,1749148004535000_shot_05-06-2025-147897_.asc
1749148017,2025-06-05 20:26:57,1749148004535000_shot_05-06-2025-147991_.asc
1749148018,2025-06-05 20:26:58,1749148004535000_shot_05-06-2025-147954_.asc
1749148019,2025-06-05 20:26:59,1749148004535000_shot_05-06-2025-147957_.asc
1749148020,2025-06-05 20:27:00,1749148004535000_shot_05-06-2025-148001_.asc
1749148021,2025-06-05 20:27:01,1749148004535000_shot_05-06-2025-148004_.asc
1749148022,2025-06-05 20:27:02,1749148004535000_shot_05-06-2025-148007_.asc
1749148023,2025-06-05 20:27:03,1749148004535000_shot_05-06-2025-147994_.asc
1749148024,2025-06-05 20:27:04,1749148004535000_shot_05-06-2025-147976_.asc
1749148025,2025-06-05 20:27:05,1749148004535000_shot_05-06-2025-147973_.asc
1749148026,2025-06-05 20:27:06,1749148004535000_shot_05-06-2025-147998_.asc
1749148027,2025-06-05 20:27:07,1749148004535000_shot_05-06-2025-147913_.asc
1749148028,2025-06-05 20:27:08,1749148004535000_shot_05-06-2025-147982_.asc
1749148029,2025-06-05 20:27:09,1749148004535000_shot_05-06-2025-147966_.asc
1749148030,2025-06-05 20:27:10,1749148004535000_shot_05-06-2025-147960_.asc
1749148031,2025-06-05 20:27:11,1749148004535000_shot_05-06-2025-148010_.asc
1749148136,2025-06-05 20:28:56,1749148124535000_shot_05-06-2025-148131_.asc
1749148137,2025-06-05 20:28:57,1749148124535000_shot_05-06-2025-148062_.asc
1749148472,2025-06-05 20:34:32,1749148460535000_shot_05-06-2025-148467_.asc
1749148544,2025-06-05 20:35:44,1749148532535000_shot_05-06-2025-148539_.asc
1749148784,2025-06-05 20:39:44,1749148772535000_shot_05-06-2025-148779_.asc
1749148856,2025-06-05 20:40:56,1749148844535000_shot_05-06-2025-148851_.asc
1749148976,2025-06-05 20:42:56,1749148964535000_shot_05-06-2025-148971_.asc
1749149144,2025-06-05 20:45:44,1749149132535000_shot_05-06-2025-149139_.asc
1749149216,2025-06-05 20:46:56,1749149204535000_shot_05-06-2025-149211_.asc
1749149288,2025-06-05 20:48:08,1749149276535000_shot_05-06-2025-149283_.asc
1749149360,2025-06-05 20:49:20,1749149348535000_shot_05-06-2025-149355_.asc
1749149432,2025-06-05 20:50:32,1749149420535000_shot_05-06-2025-149427_.asc
